Time-(numerical),Time-(readable),CPU_perc,Mem_perc,cpu_freq_MHz,disk_read_MBps,disk_write_MBps,net_sent_MBps,net_recv_MBps,trigger_ctx
1760397180.3439264,2025-10-13T18:13:00,23.0,81.3,1711.0,0.311,0.193,0.001,0.001,
1760397181.3812404,2025-10-13T18:13:01,22.0,81.3,1711.0,0.001,0.004,0.002,0.007,
1760397182.4110417,2025-10-13T18:13:02,34.7,80.2,1711.0,0.201,0.16,0.014,0.016,
1760397183.4439666,2025-10-13T18:13:03,38.8,80.2,1711.0,0.0,0.033,0.001,0.001,
1760397184.49133,2025-10-13T18:13:04,18.9,80.1,1711.0,0.001,0.188,0.0,0.0,
1760397185.5231278,2025-10-13T18:13:05,27.6,80.3,1711.0,0.078,0.0,0.033,0.021,
1760397186.5506675,2025-10-13T18:13:06,27.1,79.2,1711.0,0.799,0.381,0.001,0.001,
1760397187.5778806,2025-10-13T18:13:07,27.4,79.3,1711.0,0.005,0.496,0.01,0.008,
1760397188.610942,2025-10-13T18:13:08,28.1,79.3,1711.0,0.049,1.626,0.014,0.011,
1760397189.646623,2025-10-13T18:13:09,19.0,79.3,1711.0,0.02,0.733,0.0,0.0,
1760397190.677021,2025-10-13T18:13:10,19.7,79.3,1711.0,0.066,2.572,0.009,0.014,
1760397191.7141309,2025-10-13T18:13:11,20.1,79.2,1711.0,0.001,0.36,0.004,0.005,
1760397192.7482395,2025-10-13T18:13:12,18.7,79.2,1711.0,0.206,0.143,0.012,0.012,
1760397193.7795892,2025-10-13T18:13:13,23.4,79.0,1711.0,0.205,0.033,0.001,0.001,
1760397194.8267748,2025-10-13T18:13:14,19.8,79.0,1711.0,0.017,0.311,0.0,0.001,
1760397195.8618627,2025-10-13T18:13:15,19.4,79.0,1711.0,0.004,0.0,0.0,0.002,
1760397196.901131,2025-10-13T18:13:16,20.6,79.0,1711.0,0.345,2.875,0.0,0.001,
1760397197.9389434,2025-10-13T18:13:17,19.3,79.0,1711.0,0.123,0.34,0.0,0.002,
1760397198.9813023,2025-10-13T18:13:18,17.9,79.0,1711.0,0.0,0.242,0.004,0.002,
1760397200.0282466,2025-10-13T18:13:20,20.7,79.0,1711.0,0.0,0.262,0.001,0.001,
1760397201.0685358,2025-10-13T18:13:21,19.8,79.0,1711.0,0.266,0.0,0.0,0.002,
1760397202.107854,2025-10-13T18:13:22,17.5,78.9,1711.0,0.033,0.365,0.0,0.0,
1760397203.1527824,2025-10-13T18:13:23,17.7,79.0,1711.0,1.666,0.18,0.0,0.0,
1760397204.1857092,2025-10-13T18:13:24,16.9,78.9,1711.0,0.005,0.164,0.001,0.001,
1760397205.2259505,2025-10-13T18:13:25,16.3,79.0,1711.0,0.004,0.0,0.005,0.002,
1760397206.2639709,2025-10-13T18:13:26,17.7,79.1,1711.0,0.033,0.238,0.0,0.0,
1760397207.3060164,2025-10-13T18:13:27,19.0,79.1,1711.0,0.004,0.258,0.0,0.0,
1760397208.3445127,2025-10-13T18:13:28,18.9,79.1,1711.0,0.001,0.115,0.001,0.001,
1760397209.382677,2025-10-13T18:13:29,24.2,79.1,1711.0,0.001,0.025,0.001,0.004,
1760397210.4069734,2025-10-13T18:13:30,19.0,79.2,1711.0,0.0,0.131,0.005,0.007,
1760397211.437904,2025-10-13T18:13:31,30.0,79.2,1711.0,0.029,0.172,0.0,0.0,
1760397212.4795518,2025-10-13T18:13:32,22.5,79.2,1711.0,0.066,0.229,0.0,0.0,
1760397213.5253177,2025-10-13T18:13:33,20.1,79.2,1711.0,0.001,0.0,0.001,0.001,
1760397214.5646784,2025-10-13T18:13:34,22.1,79.2,1711.0,0.803,0.135,0.0,0.0,
1760397215.5918493,2025-10-13T18:13:35,24.3,79.2,1711.0,0.197,0.266,0.013,0.002,
1760397216.6296053,2025-10-13T18:13:36,20.7,79.3,1711.0,0.385,0.336,0.007,0.012,
1760397217.6669009,2025-10-13T18:13:37,20.4,79.3,1711.0,0.001,0.0,0.009,0.015,
1760397218.6998193,2025-10-13T18:13:38,27.4,79.4,1711.0,0.074,0.242,0.001,0.005,
1760397219.7289953,2025-10-13T18:13:39,22.0,79.3,1711.0,0.025,0.717,0.001,0.002,
1760397220.7617698,2025-10-13T18:13:40,22.1,79.3,1711.0,0.008,0.311,0.009,0.003,
1760397221.7882125,2025-10-13T18:13:41,19.6,79.4,1711.0,0.004,0.004,0.014,0.012,
